x_transformed,y_transformed,group
15236.032,18897.398,Proliferative Tumor Cells
15310.018,18980.902,Tumor Cells
15266.7705,18940.676,Proliferative Tumor Cells
15266.389,18966.027,Proliferative Tumor Cells
15281.943,19006.01,Proliferative Tumor Cells
15291.377,18967.314,Tumor Cells
15359.275,19019.354,Tumor Cells
15317.587,19011.086,Tumor Cells
15350.201,18964.1,Proliferative Tumor Cells
15084.092,19008.447,Proliferative Tumor Cells
15013.815,18947.318,Proliferative Tumor Cells
15044.998,18992.143,Proliferative Tumor Cells
15044.605,18938.344,Proliferative Tumor Cells
15090.888,18978.555,Proliferative Tumor Cells
14923.071,18985.123,Proliferative Tumor Cells
14863.671,19007.53,Proliferative Tumor Cells
14873.57,18961.686,Proliferative Tumor Cells
14889.104,18987.318,Proliferative Tumor Cells
14894.425,19015.572,Proliferative Tumor Cells
15081.455,18890.746,Proliferative Tumor Cells
15016.1,18887.066,Tumor Cells
15058.959,18923.3,Proliferative Tumor Cells
15059.902,18898.934,Tumor Cells
15301.215,19038.562,Tumor Cells
15316.892,19059.842,Tumor Cells
15229.245,19051.93,Macrophages
15336.162,19050.486,Proliferative Tumor Cells
14940.653,19045.17,Proliferative Tumor Cells
14910.18,19031.271,Tumor Cells
14920.439,19097.371,Proliferative Tumor Cells
14929.5205,19072.809,Tumor Cells
15038.314,19058.791,Proliferative Tumor Cells
14984.306,19081.928,Proliferative Tumor Cells
14993.592,19048.717,Proliferative Tumor Cells
15030.09,19086.041,Tumor Cells
15137.129,19028.219,Tumor Cells
15096.87,19078.412,Tumor Cells
15103.313,19025.598,Proliferative Tumor Cells
15115.155,19101.512,Proliferative Tumor Cells
14886.535,19096.91,Tumor Cells
14860.265,19096.73,Tumor Cells
14852.76,19067.95,Tumor Cells
14863.154,19046.941,Macrophages
14875.355,19073.156,Proliferative Tumor Cells
14789.628,19053.615,Proliferative Tumor Cells
14747.463,19053.256,Macrophages
14764.051,19087.121,Tumor Cells
14838.333,19089.533,Tumor Cells
